Línea_aérea,Línea_aérea_Id,Aeropuerto_origen,Aeropuerto_origen_Id,Aeropuerto_destino,Aeropuerto_destino_Id,Vuelo_operado,Número_paradas,Modelo_avión,Distancia_km
2B,410,AER,2965,KZN,2990,,0,CR2,1505.879588577336
2B,410,ASF,2966,KZN,2990,,0,CR2,1039.785085850871
2B,410,ASF,2966,MRV,2962,,0,CR2,447.8835306472574
2B,410,CEK,2968,KZN,2990,,0,CR2,770.0247403003693
2B,410,CEK,2968,OVB,4078,,0,CR2,1337.7910136170742
2B,410,DME,4029,KZN,2990,,0,CR2,715.2000336731974
2B,410,DME,4029,NBC,6969,,0,CR2,891.8225097523032
2B,410,DME,4029,UUA,6160,,0,CR2,950.8348464083638
2B,410,EGO,6156,KGD,2952,,0,CR2,1171.1457354374108
2B,410,EGO,6156,KZN,2990,,0,CR2,1007.6200834940137
2B,410,GYD,2922,NBC,6969,,0,CR2,1684.3683378867404
2B,410,KGD,2952,EGO,6156,,0,CR2,1171.1457354374108
2B,410,KZN,2990,AER,2965,,0,CR2,1505.879588577336
2B,410,KZN,2990,ASF,2966,,0,CR2,1039.785085850871
2B,410,KZN,2990,CEK,2968,,0,CR2,770.0247403003693
2B,410,KZN,2990,DME,4029,,0,CR2,715.2000336731974
2B,410,KZN,2990,EGO,6156,,0,CR2,1007.6200834940137
2B,410,KZN,2990,LED,2948,,0,CR2,1216.080577799555
2B,410,KZN,2990,SVX,2975,,0,CR2,723.0689431505238
2B,410,LED,2948,KZN,2990,,0,CR2,1216.080577799555
2B,410,LED,2948,NBC,6969,,0,CR2,1372.0244545987941
2B,410,LED,2948,UUA,6160,,0,CR2,1463.1377343599192
2B,410,MRV,2962,ASF,2966,,0,CR2,447.8835306472574
2B,410,NBC,6969,DME,4029,,0,CR2,891.8225097523032
2B,410,NBC,6969,GYD,2922,,0,CR2,1684.3683378867404
2B,410,NBC,6969,LED,2948,,0,CR2,1372.0244545987941
2B,410,NBC,6969,SVX,2975,,0,CR2,554.3550919746697
2B,410,NJC,2972,SVX,2975,,0,CR2,1011.9669561040856
2B,410,NJC,2972,UUA,6160,,0,CR2,1556.1941595960345
2B,410,NUX,4364,SVX,2975,,0,CR2,1323.7801019913356
2B,410,OVB,4078,CEK,2968,,0,CR2,1337.7910136170742
2B,410,OVB,4078,SVX,2975,,0,CR2,1369.4369244565025
2B,410,SVX,2975,KZN,2990,,0,CR2,723.0689431505238
2B,410,SVX,2975,NBC,6969,,0,CR2,554.3550919746697
2B,410,SVX,2975,NJC,2972,,0,CR2,1011.9669561040856
2B,410,SVX,2975,NUX,4364,,0,CR2,1323.7801019913356
2B,410,SVX,2975,OVB,4078,,0,CR2,1369.4369244565025
2B,410,UUA,6160,DME,4029,,0,CR2,950.8348464083638
2B,410,UUA,6160,LED,2948,,0,CR2,1463.1377343599192
2B,410,UUA,6160,NJC,2972,,0,CR2,1556.1941595960345
2G,1654,BTK,2936,IKT,2937,,0,A81,488.03302004219813
2G,1654,BTK,2936,OVB,4078,,0,A81,1198.6061443639676
2G,1654,CEK,2968,OVB,4078,,0,A81,1337.7910136170742
2G,1654,HTA,2935,IKT,2937,,0,AN4,608.2609275710589
2G,1654,IKT,2937,BTK,2936,,0,A81,488.03302004219813
2G,1654,IKT,2937,HTA,2935,,0,AN4,608.2609275710589
2G,1654,IKT,2937,ODO,8944,,0,AN4,881.6326646104636
2G,1654,IKT,2937,OVB,4078,,0,A81,1457.9083945235227
2G,1654,IKT,2937,UKX,6924,,0,AN4,517.1613715512134
2G,1654,IKT,2937,ULK,9026,,0,AN4,1133.8256512038945
2G,1654,IKT,2937,YKS,2923,,0,A81,1858.8473505039153
2G,1654,MJZ,2925,OVB,4078,,0,A81,1966.2526172052912
2G,1654,ODO,8944,IKT,2937,,0,AN4,881.6326646104636
2G,1654,OVB,4078,BTK,2936,,0,A81,1198.6061443639676
2G,1654,OVB,4078,CEK,2968,,0,A81,1337.7910136170742
2G,1654,OVB,4078,IKT,2937,,0,A81,1457.9083945235227
2G,1654,UKX,6924,IKT,2937,,0,AN4,517.1613715512134
2G,1654,ULK,9026,IKT,2937,,0,AN4,1133.8256512038945
2G,1654,YKS,2923,IKT,2937,,0,A81,1858.8473505039153
2I,8359,AYP,2786,LIM,2789,,0,142,339.76705464011735
2I,8359,CUZ,2812,LIM,2789,,0,142 141,585.5400619695198
2I,8359,CUZ,2812,PEM,2808,,0,142,310.7393518112934
2I,8359,HUU,6067,LIM,2789,,0,141,257.993979197874
2I,8359,IQT,2801,PCL,2781,,0,143,529.2185084271667
2I,8359,IQT,2801,TPP,2806,,0,142,454.57286083345446
2I,8359,LIM,2789,AYP,2786,,0,142,339.76705464011735
2I,8359,LIM,2789,CUZ,2812,,0,142 141,585.5400619695198
2I,8359,LIM,2789,HUU,6067,,0,141,257.993979197874
2I,8359,LIM,2789,PCL,2781,,0,143 146,491.03462450158065
2I,8359,LIM,2789,TPP,2806,,0,142 146,618.0143612895862
2I,8359,PCL,2781,IQT,2801,,0,143,529.2185084271667
2I,8359,PCL,2781,LIM,2789,,0,143 146,491.03462450158065
2I,8359,PCL,2781,TPP,2806,,0,146,287.11019446592843
2I,8359,PEM,2808,CUZ,2812,,0,142,310.7393518112934
2I,8359,TPP,2806,IQT,2801,,0,142,454.57286083345446
2I,8359,TPP,2806,LIM,2789,,0,142 146,618.0143612895862
2I,8359,TPP,2806,PCL,2781,,0,146,287.11019446592843
2J,470,ABJ,253,BOY,247,,0,CRJ,657.0027592102192
2J,470,ABJ,253,OUA,246,,0,E70 CRJ M87,831.406919623968
2J,470,ACC,248,OUA,246,,0,CRJ,764.2634479022096
2J,470,BKO,1044,ABJ,253,,0,M87,920.818338667978
2J,470,BKO,1044,DKR,1084,,0,M87,1058.9076354397357
2J,470,BKO,1044,OUA,246,,0,CRJ,698.8356408932136
2J,470,BOY,247,ABJ,253,,0,CRJ,657.0027592102192
2J,470,BOY,247,OUA,246,,0,CRJ,334.0695421592406
2J,470,COO,245,LFW,298,,0,M87,126.60805942030534
2J,470,COO,245,OUA,246,,0,M87,791.414308356015
2J,470,DKR,1084,BKO,1044,,0,M87,1058.9076354397357
2J,470,DKR,1084,OUA,246,,0,M87,1745.9408585058768
2J,470,LFW,298,OUA,246,,0,M87 CRJ,751.5220982635165
2J,470,NIM,280,OUA,246,,0,CRJ,419.4929827747689
2J,470,OUA,246,ABJ,253,,0,E70 CRJ M87,831.406919623968
2J,470,OUA,246,ACC,248,,0,CRJ,764.2634479022096
2J,470,OUA,246,BKO,1044,,0,M87 CRJ,698.8356408932136
2J,470,OUA,246,BOY,247,,0,CRJ,334.0695421592406
2J,470,OUA,246,COO,245,,0,M87,791.414308356015
2J,470,OUA,246,DKR,1084,,0,M87,1745.9408585058768
2J,470,OUA,246,LFW,298,,0,CRJ,751.5220982635165
2J,470,OUA,246,NIM,280,,0,CRJ,419.4929827747689
2K,1338,BOG,2709,GYE,2673,,0,319,993.3126634812312
2K,1338,BOG,2709,UIO,2688,,0,319 320,711.778678734741
2K,1338,CLO,2715,GYE,2673,,0,319,743.3711240832674
2K,1338,GYE,2673,BOG,2709,,0,319,993.3126634812312
2K,1338,GYE,2673,CLO,2715,,0,319,743.3711240832674
2K,1338,GYE,2673,SCY,6045,,0,319 320,1090.106575592383
2K,1338,GYE,2673,UIO,2688,,0,320 319,282.03931852992105
2K,1338,OCC,2670,UIO,2688,,0,319,156.7663238226964
2K,1338,SCY,6045,GYE,2673,,0,319 320,1090.106575592383
2K,1338,UIO,2688,BOG,2709,,0,319 320,711.778678734741
2K,1338,UIO,2688,GYE,2673,,0,319,282.03931852992105
2K,1338,UIO,2688,OCC,2670,,0,319,156.7663238226964
2L,2750,BDS,1506,ZRH,1678,,0,100,1064.0723614081842
2L,2750,BOD,1264,ZRH,1678,,0,100,770.4860884909094
2L,2750,BRS,490,ZRH,1678,,0,100,922.1817020917375
2L,2750,GVA,1665,LPA,1054,,0,319,2769.3747959282127
2L,2750,LCA,1197,ZRH,1678,,0,319,2503.6019756453425
2L,2750,LPA,1054,ZRH,1678,,0,319,2999.2920824864455
2L,2750,RMF,4197,ZRH,1678,,0,319,3335.345885309115
2L,2750,TFS,1056,GVA,1665,,0,319,2830.563988849149
2L,2750,ZRH,1678,BDS,1506,,0,100,1064.0723614081842
2L,2750,ZRH,1678,BOD,1264,,0,100,770.4860884909094
2L,2750,ZRH,1678,BRS,490,,0,100,922.1817020917375
2L,2750,ZRH,1678,LCA,1197,,0,319,2503.6019756453425
2L,2750,ZRH,1678,LPA,1054,,0,319,2999.2920824864455
2L,2750,ZRH,1678,RMF,4197,,0,319,3335.345885309115
2N,3652,AJR,730,LYC,719,,0,ATP,118.78441589474976
2N,3652,ARN,737,GEV,715,,0,ATP,843.4459289169133
2N,3652,ARN,737,HAD,709,,0,SF3,444.1993737319706
2N,3652,ARN,737,JKG,688,,0,ATP SF3,306.01317025549827
2N,3652,ARN,737,KRF,718,,0,ATP,377.54243649995146
2N,3652,ARN,737,KSD,5595,,0,SF3,258.984127080008
2N,3652,ARN,737,LYC,719,,0,ATP,545.6801598960109
2N,3652,ARN,737,MHQ,442,,0,SF3,122.10893137032517
2N,3652,ARN,737,OER,722,,0,ATR,421.25529382475924
2N,3652,ARN,737,POR,448,,0,SF3,292.1430341726006
2N,3652,ARN,737,TRF,664,,0,SF3,435.88444766334817
2N,3652,ARN,737,VBY,746,,0,SF3 ATP,222.41544145586792
2N,3652,ARN,737,VHM,729,,0,SF3,550.4108548885082
2N,3652,ARN,737,VXO,711,,0,SF3,355.2673140628182
2N,3652,GEV,715,ARN,737,,0,ATP,843.4459289169133
2N,3652,GEV,715,KRF,718,,0,ATP,475.5365077545154
2N,3652,HAD,709,ARN,737,,0,SF3 ATP,444.1993737319706
2N,3652,HAD,709,JKG,688,,0,ATP SF3,140.3042147711507
2N,3652,HAD,709,VXO,711,,0,SF3,119.02569292246906
2N,3652,HMV,5599,VHM,729,,0,SF3,158.9045574957625
2N,3652,JKG,688,ARN,737,,0,ATP SF3,306.01317025549827
2N,3652,JKG,688,HAD,709,,0,ATP SF3,140.3042147711507
2N,3652,KOK,435,POR,448,,0,SF3,260.30282165036056
2N,3652,KRF,718,ARN,737,,0,ATP,377.54243649995146
2N,3652,KRF,718,GEV,715,,0,ATP,475.5365077545154
2N,3652,KSD,5595,ARN,737,,0,SF3,258.984127080008
2N,3652,LYC,719,AJR,730,,0,ATP,118.78441589474976
2N,3652,LYC,719,ARN,737,,0,ATP,545.6801598960109
2N,3652,MHQ,442,ARN,737,,0,SF3,122.10893137032517
2N,3652,MHQ,442,TKU,460,,0,SF3,137.20315487990158
2N,3652,OER,722,ARN,737,,0,ATR,421.25529382475924
2N,3652,OSL,644,VXO,711,,0,SF3,419.1837777093296
2N,3652,POR,448,ARN,737,,0,SF3,292.1430341726006
2N,3652,POR,448,KOK,435,,0,SF3,260.30282165036056
2N,3652,TKU,460,MHQ,442,,0,SF3,137.20315487990158
2N,3652,TRF,664,ARN,737,,0,SF3,435.88444766334817
2N,3652,VBY,746,ARN,737,,0,SF3 ATP,222.41544145586792
2N,3652,VHM,729,ARN,737,,0,SF3,550.4108548885082
2N,3652,VHM,729,HMV,5599,,0,SF3,158.9045574957625
2N,3652,VXO,711,ARN,737,,0,SF3,355.2673140628182
2N,3652,VXO,711,OSL,644,,0,SF3,419.1837777093296
2O,146,ADQ,3531,AOS,7167,,0,BNI,0.0
2O,146,ADQ,3531,KKB,7168,,0,BNI,0.0
2O,146,ADQ,3531,KLN,7162,,0,BNI,91.43083040162665
2O,146,ADQ,3531,KOZ,7164,,0,BNI,0.0
2O,146,ADQ,3531,OLH,7163,,0,BNI,0.0
2O,146,AOS,7167,KZB,7176,,0,BNI,0.0
2O,146,KKB,7168,SYB,7173,,0,BNI,0.0
2O,146,KLN,7162,KYK,7161,,0,BNI,28.36620881796215
2O,146,KOZ,7164,ORI,7165,,0,BNI,0.0
2O,146,SYB,7173,KPR,7172,,0,BNI,0.0
2P,897,BSO,6019,MNL,2397,,0,DH4,668.1675318153144
2P,897,BXU,4200,MNL,2397,,0,320,785.1703294561005
2P,897,CBO,2399,MNL,2397,,0,320,887.0980919527386
2P,897,CGY,2400,MNL,2397,,0,320,781.8123680058518
2P,897,CRM,6024,MNL,2397,,0,DH4,449.8231334398471
2P,897,DGT,2425,MNL,2397,,0,320,626.1802970441075
2P,897,DWC,8076,MNL,2397,,0,330,6924.707279719099
